"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"948001",1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
"964235",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10
"1650226",1,0,1,4,0,1,2,1,2,2,1,0,0,0,0,0,0,0,0,1
"8201",0,1,1,0,1,4,1,0,0,0,1,3,1,1,0,0,0,0,0,4
"1546130",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1221713",1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"943424",0,0,0,0,1,1,3,0,0,1,2,0,0,0,0,0,0,0,0,1
"706726",0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
"809906",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
"611375",6,1,4,2,1,5,3,1,1,1,3,2,1,0,0,0,0,0,0,1
"1547003",0,2,1,0,3,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0
"1946494",2,2,0,1,0,0,0,0,2,1,0,0,0,3,0,0,1,0,1,0
"1545927",1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"618853",0,0,1,0,5,0,3,0,0,0,0,6,0,0,0,0,0,0,0,2
"2008368",4,4,2,1,2,2,1,1,3,1,2,0,0,0,0,1,1,1,0,2
"943904",2,0,1,0,1,2,2,2,5,0,1,1,2,0,1,1,1,0,1,7
"1633630",0,0,1,0,2,1,4,1,1,1,0,1,0,0,0,0,0,0,0,0
"1114910",7,7,2,2,0,2,0,2,2,5,0,2,0,2,1,0,0,0,0,0
"1023683",3,1,1,1,0,0,1,0,1,1,1,11,0,0,0,0,0,0,0,0
"793205",2,0,2,1,0,2,0,2,0,0,0,2,0,1,0,0,0,0,0,0
"1221771",0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,1,2,0
"1054467",2,1,1,0,1,1,2,1,0,0,2,1,0,0,0,0,1,0,0,0
"715945",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"1054036",2,1,3,3,1,0,1,2,0,1,0,1,0,0,0,1,0,0,0,0
"612046",1,0,2,1,2,0,2,0,0,0,2,0,0,0,0,1,1,0,1,0
"1102397",1,0,2,1,3,1,0,1,1,0,0,2,1,1,0,0,1,1,0,1
"358485",2,0,0,1,0,0,1,0,2,1,0,3,0,0,0,0,0,0,0,1
"810877",2,1,1,1,0,1,1,1,1,2,2,3,0,0,0,0,0,0,0,0
"1126",2,1,0,0,2,1,0,0,0,1,0,3,0,0,0,0,0,0,0,2
"715737",2,1,0,1,2,2,0,3,1,1,1,4,1,0,0,1,0,0,0,2
"1099406",2,7,1,4,0,4,1,3,1,1,0,0,0,0,0,0,0,0,0,0
"1220694",1,0,0,2,0,2,0,0,1,1,2,2,0,0,0,0,0,0,0,1
"943893",1,2,2,1,2,2,1,1,0,1,3,1,1,0,0,0,0,0,1,1
"809838",0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
"1054436",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"817395",2,0,1,1,5,2,1,1,0,0,2,2,0,0,1,0,0,0,0,1
"586036",1,1,1,2,2,0,2,1,0,4,0,2,0,0,0,0,0,0,0,1
"706714",2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1220878",0,0,1,0,0,0,2,2,1,0,0,1,0,0,0,1,0,1,0,0
"955414",2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1555181",1,0,4,2,0,2,1,2,1,0,1,1,1,0,0,0,1,0,3,9
"1739024",0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"1652570",0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1
"1220941",0,0,2,1,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0
"1947988",1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"807274",1,0,0,0,0,2,2,1,0,2,0,1,0,0,0,0,0,1,1,3
"1475279",6,2,1,2,2,5,3,3,1,0,2,3,0,0,0,1,0,1,0,0
"594559",4,0,1,1,2,1,0,1,1,0,1,0,0,0,1,1,0,0,0,5
"965207",0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"942980",1,1,1,0,0,3,2,0,2,2,0,3,0,0,0,0,1,0,0,0
"715586",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2
"799526",0,4,7,3,1,1,1,4,2,2,2,3,1,2,0,0,0,2,0,4
"1641403",1,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1615370",0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,1,0,1
"1771782",0,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
"1948338",2,2,3,3,5,1,0,1,3,4,3,6,0,1,0,0,0,0,0,2
"1035359",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"780697",1,0,2,0,1,0,1,2,0,1,0,1,0,0,0,0,1,0,0,4
"1061254",1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"1938269",2,0,2,1,0,0,0,0,1,1,2,3,1,0,0,0,0,0,0,2
"827636",1,1,3,6,1,3,1,0,1,2,2,1,0,0,1,0,0,0,0,0
"1629198",0,0,0,1,2,4,0,2,1,3,1,3,0,0,1,0,0,0,1,0
"605145",1,2,2,1,1,11,2,3,1,2,0,1,0,0,1,0,0,0,0,1
"1053575",0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"1947803",1,1,0,2,1,0,0,1,1,0,1,2,0,0,1,0,0,0,0,0
"706990",0,1,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1
"1061169",3,0,1,0,1,2,1,4,1,0,0,0,0,0,0,0,1,0,0,0
"282785",3,4,1,3,1,4,3,4,5,8,4,3,0,0,2,1,3,0,1,12
"825849",1,0,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1
